Time, KEYPOINTS, image-number
0.00919292,500,0
0.0101142,500,1
0.0090273,500,2
0.0092922,500,3
0.0112971,500,4
0.0128752,500,5
0.0095521,500,6
0.0100087,500,7
0.00900059,500,8
0.0081219,500,9
