Time, KEYPOINTS, image-number
0.588418,1438,0
0.131285,1371,1
0.175373,1380,2
0.20582,1335,3
0.191108,1305,4
0.231246,1369,5
0.128959,1396,6
0.122671,1382,7
0.136399,1463,8
0.126642,1422,9
