Time, DESCRIPTOR, image-number
0.0591874,[64 x 149],0
0.0562324,[64 x 152],1
0.0462549,[64 x 150],2
0.0454806,[64 x 155],3
0.0553094,[64 x 149],4
0.0507299,[64 x 149],5
0.0610855,[64 x 156],6
0.0731693,[64 x 150],7
0.0591592,[64 x 138],8
0.0679351,[64 x 143],9
