Time, DESCRIPTOR, image-number
0.00418771,[32 x 149],0
0.00665302,[32 x 152],1
0.0135168,[32 x 150],2
0.00653597,[32 x 155],3
0.00677964,[32 x 149],4
0.00874463,[32 x 149],5
0.00545055,[32 x 156],6
0.00395882,[32 x 150],7
0.00386782,[32 x 138],8
0.00523763,[32 x 143],9
