Time, KEYPOINTS, image-number
0.00107063,1824,0
0.000929038,1832,1
0.00125516,1810,2
0.00076992,1817,3
0.00254287,1793,4
0.00179736,1796,5
0.00488042,1788,6
0.000845094,1695,7
0.00114532,1749,8
0.000909108,1770,9
