Time, KEYPOINTS, image-number
0.776864,102,0
0.871728,90,1
0.693478,99,2
0.692426,103,3
0.688338,138,4
0.695658,257,5
0.685191,74,6
0.686498,171,7
0.681417,140,8
0.680514,207,9
