Time, DESCRIPTOR, image-number
0.0017976,[32 x 149],0
0.00179224,[32 x 152],1
0.00110607,[32 x 150],2
0.00199359,[32 x 155],3
0.00104973,[32 x 149],4
0.00395054,[32 x 149],5
0.00101558,[32 x 156],6
0.00116761,[32 x 150],7
0.00109252,[32 x 138],8
0.000942482,[32 x 143],9
