Time, KEYPOINTS, image-number
0.0523316,2757,0
0.0466829,2777,1
0.0680165,2741,2
0.0464373,2735,3
0.0442793,2757,4
0.0616259,2695,5
0.060463,2715,6
0.0706439,2628,7
0.0587056,2639,8
0.0436784,2672,9
