Time, DESCRIPTOR, image-number
0.112343,[61 x 166],0
0.135607,[61 x 157],1
0.0895479,[61 x 161],2
0.162193,[61 x 155],3
0.171937,[61 x 163],4
0.0925529,[61 x 164],5
0.093977,[61 x 173],6
0.0954967,[61 x 175],7
0.106191,[61 x 177],8
0.0834989,[61 x 179],9
