Time, KEYPOINTS, image-number
0.191554,1351,0
0.16982,1327,1
0.129529,1311,2
0.169523,1351,3
0.173037,1360,4
0.160111,1347,5
0.0991194,1363,6
0.102983,1331,7
0.11382,1358,8
0.096788,1331,9
