Time, DESCRIPTOR, image-number
0.0881525,[128 x 138],0
0.0842756,[128 x 132],1
0.085039,[128 x 124],2
0.0799777,[128 x 137],3
0.0792618,[128 x 134],4
0.0796959,[128 x 140],5
0.0790032,[128 x 137],6
0.0798679,[128 x 148],7
0.0807102,[128 x 159],8
0.0804622,[128 x 137],9
